,test_loss,test_rouge1,test_rouge2,test_rougeL,test_rougeLsum,test_bert_score_precision,test_bert_score_recall,test_bert_score_f1,test_gen_len,test_runtime,test_samples_per_second,test_steps_per_second
en_XX,1.733916163444519,37.3535,13.9544,28.1987,28.3075,76.3094,77.6755,76.9492,39.4121,3360.5079,3.417,0.427
es_XX,2.2116339206695557,32.0738,10.7749,23.061,23.5549,72.5761,72.0873,72.2651,45.9196,1859.2813,2.53,0.316
ru_RU,1.7541475296020508,30.4674,11.5905,22.9448,24.2981,71.8373,73.2418,72.4765,63.0185,3774.8143,2.033,0.254
en_XX_zero_es_XX,2.498192548751831,25.1628,6.3613,17.7358,18.1651,69.6278,69.7016,69.5867,54.821,2708.1947,1.737,0.217
en_XX_zero_ru_RU,2.2852988243103027,24.5292,8.1208,18.4309,19.1193,71.6621,70.5344,71.0427,50.0808,3287.2253,2.334,0.292
en_XX_tuned_es_XX_10,2.4177944660186768,28.6718,7.8727,20.006,20.5439,70.6963,70.831,70.7068,51.3608,1989.4051,2.365,0.296
en_XX_tuned_es_XX_100,2.3807718753814697,28.9649,8.1741,20.0949,20.6821,70.1529,71.2273,70.6277,59.3121,2334.0384,2.015,0.252
en_XX_tuned_es_XX_1000,2.303680419921875,29.6566,8.7497,20.5848,21.0972,70.4408,71.5362,70.9254,58.7117,2329.0764,2.02,0.252
en_XX_tuned_es_XX_10000,2.173713207244873,31.2914,10.2416,22.3578,22.8978,71.4383,72.1643,71.7158,55.4554,2341.9354,2.009,0.251
en_XX_tuned_ru_RU_10,2.2825679779052734,25.0799,8.3866,18.7191,19.458,71.5611,70.8502,71.1529,52.1775,3240.791,2.368,0.296
en_XX_tuned_ru_RU_100,2.108443021774292,26.3375,8.7592,19.3911,20.169,70.2318,71.0477,70.5418,65.8586,5013.4288,1.53,0.191
en_XX_tuned_ru_RU_1000,1.907900333404541,28.0591,9.8402,20.896,22.1154,70.942,72.1954,71.5117,61.1726,3560.2674,2.155,0.27
en_XX_tuned_ru_RU_10000,1.8030234575271606,27.8392,10.0161,20.6132,22.1745,69.784,73.01,71.3087,78.0061,4355.4132,1.762,0.22
en_XX_tuned_es_XX,2.0898232460021973,32.648,11.2726,23.6236,24.0952,72.5842,72.4156,72.4318,47.807,2017.1795,2.332,0.291
en_XX_tuned_ru_RU,1.6833903789520264,32.1306,12.724,24.6181,25.8605,72.9421,73.8121,73.3191,57.4316,3369.0353,2.278,0.285
multilingual_en_XX,1.7336360216140747,37.3705,13.979,28.2287,28.3381,76.3073,77.6747,76.9478,39.356,3167.6952,3.625,0.453
multilingual_es_XX,2.092697858810425,32.742,11.2727,23.52,24.0772,72.6253,72.462,72.4804,47.2959,1856.323,2.534,0.317
multilingual_ru_RU,1.6910475492477417,31.9454,12.5428,24.3034,25.5702,72.7041,73.7477,73.1688,58.343,3289.5612,2.333,0.292
